========================================13/11/2022 09:59:51========================================
Step:1/5000 -- 53/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.958E+00 / 1.988E-01 / 7.826E-01 Valid: 2.416E+00 / 2.021E-01 / 8.002E-01
Step:1/5000 -- 54/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.045E+00 / 2.056E-01 / 7.938E-01 Valid: 2.610E+00 / 1.937E-01 / 7.545E-01
Step:2/5000 -- 0/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.980E+00 / 1.984E-01 / 7.795E-01 Valid: 2.429E+00 / 1.970E-01 / 8.231E-01
Step:2/5000 -- 1/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.965E+00 / 1.995E-01 / 7.801E-01 Valid: 2.391E+00 / 1.964E-01 / 7.706E-01
Step:2/5000 -- 2/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.982E+00 / 1.999E-01 / 7.855E-01 Valid: 2.435E+00 / 1.955E-01 / 7.911E-01
Step:2/5000 -- 3/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.978E+00 / 1.978E-01 / 7.813E-01 Valid: 2.481E+00 / 2.037E-01 / 7.946E-01
Step:2/5000 -- 4/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.959E+00 / 1.986E-01 / 7.863E-01 Valid: 2.564E+00 / 1.929E-01 / 7.856E-01
Step:2/5000 -- 5/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.992E+00 / 1.997E-01 / 7.804E-01 Valid: 2.463E+00 / 2.069E-01 / 7.891E-01
Step:2/5000 -- 6/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.020E+00 / 1.974E-01 / 7.774E-01 Valid: 2.438E+00 / 2.007E-01 / 7.920E-01
Step:2/5000 -- 7/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.983E+00 / 2.001E-01 / 7.775E-01 Valid: 2.399E+00 / 2.001E-01 / 7.926E-01
Step:2/5000 -- 8/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.010E+00 / 1.984E-01 / 7.755E-01 Valid: 2.493E+00 / 2.049E-01 / 7.597E-01
Step:2/5000 -- 9/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.008E+00 / 1.994E-01 / 7.827E-01 Valid: 2.456E+00 / 2.007E-01 / 7.986E-01
Step:2/5000 -- 10/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.963E+00 / 1.968E-01 / 7.791E-01 Valid: 2.405E+00 / 2.062E-01 / 8.117E-01
Step:2/5000 -- 11/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.964E+00 / 1.960E-01 / 7.727E-01 Valid: 2.429E+00 / 2.032E-01 / 7.981E-01
Step:2/5000 -- 12/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.956E+00 / 1.972E-01 / 7.761E-01 Valid: 2.514E+00 / 2.071E-01 / 7.913E-01
Step:2/5000 -- 13/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.963E+00 / 1.970E-01 / 7.699E-01 Valid: 2.352E+00 / 1.885E-01 / 7.761E-01
Step:2/5000 -- 14/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.934E+00 / 1.961E-01 / 7.685E-01 Valid: 2.390E+00 / 1.910E-01 / 7.867E-01
Step:2/5000 -- 15/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.965E+00 / 1.963E-01 / 7.775E-01 Valid: 2.520E+00 / 1.996E-01 / 7.833E-01
Step:2/5000 -- 16/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.963E+00 / 1.972E-01 / 7.748E-01 Valid: 2.389E+00 / 1.937E-01 / 7.668E-01
Step:2/5000 -- 17/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.951E+00 / 1.960E-01 / 7.712E-01 Valid: 2.461E+00 / 1.991E-01 / 7.780E-01
Step:2/5000 -- 18/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.964E+00 / 1.980E-01 / 7.722E-01 Valid: 2.519E+00 / 1.879E-01 / 7.510E-01
Step:2/5000 -- 19/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.941E+00 / 1.969E-01 / 7.778E-01 Valid: 2.457E+00 / 1.830E-01 / 7.453E-01
Step:2/5000 -- 20/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.992E+00 / 1.965E-01 / 7.652E-01 Valid: 2.618E+00 / 1.938E-01 / 7.534E-01
Step:2/5000 -- 21/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.938E+00 / 1.955E-01 / 7.642E-01 Valid: 2.478E+00 / 1.975E-01 / 7.719E-01
Step:2/5000 -- 22/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.923E+00 / 1.960E-01 / 7.634E-01 Valid: 2.557E+00 / 1.959E-01 / 7.859E-01
Step:2/5000 -- 23/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.985E+00 / 1.955E-01 / 7.624E-01 Valid: 2.461E+00 / 2.018E-01 / 7.668E-01
